Episode,Reward
0,-21.0
1,-21.0
2,-21.0
3,-21.0
4,-21.0
5,-20.0
6,-21.0
7,-19.0
8,-21.0
9,-21.0
10,-20.0
11,-21.0
12,-20.0
13,-20.0
14,-21.0
15,-21.0
16,-21.0
17,-21.0
18,-21.0
19,-20.0
20,-20.0
21,-21.0
22,-21.0
23,-20.0
24,-21.0
25,-20.0
26,-20.0
27,-21.0
28,-20.0
29,-21.0
30,-19.0
31,-21.0
32,-20.0
33,-20.0
34,-21.0
35,-20.0
36,-19.0
37,-20.0
38,-20.0
39,-21.0
40,-20.0
41,-20.0
42,-21.0
43,-21.0
44,-20.0
45,-21.0
46,-21.0
47,-20.0
48,-21.0
49,-21.0
50,-20.0
51,-21.0
52,-19.0
53,-21.0
54,-21.0
55,-19.0
56,-21.0
57,-20.0
58,-20.0
59,-21.0
60,-20.0
61,-20.0
62,-20.0
63,-21.0
64,-20.0
65,-21.0
66,-21.0
67,-21.0
68,-20.0
69,-19.0
70,-21.0
71,-19.0
72,-21.0
73,-21.0
74,-21.0
75,-21.0
76,-19.0
77,-21.0
78,-21.0
79,-20.0
80,-20.0
81,-21.0
82,-18.0
83,-20.0
84,-20.0
85,-21.0
86,-21.0
87,-21.0
88,-21.0
89,-21.0
90,-19.0
91,-21.0
92,-21.0
93,-20.0
94,-21.0
95,-20.0
96,-20.0
97,-21.0
98,-20.0
99,-21.0
100,-21.0
101,-21.0
102,-20.0
103,-21.0
104,-19.0
105,-21.0
106,-21.0
107,-20.0
108,-19.0
109,-20.0
110,-19.0
111,-21.0
112,-21.0
113,-20.0
114,-21.0
115,-19.0
116,-21.0
117,-21.0
118,-20.0
119,-21.0
120,-21.0
121,-21.0
122,-21.0
123,-20.0
124,-21.0
125,-21.0
126,-19.0
127,-21.0
128,-18.0
129,-18.0
130,-21.0
131,-21.0
132,-20.0
133,-20.0
134,-21.0
135,-21.0
136,-20.0
137,-20.0
138,-21.0
139,-21.0
140,-18.0
141,-19.0
142,-21.0
143,-21.0
144,-20.0
145,-21.0
146,-21.0
147,-20.0
148,-21.0
149,-21.0
150,-21.0
151,-19.0
152,-21.0
153,-21.0
154,-20.0
155,-18.0
156,-20.0
157,-21.0
158,-20.0
159,-20.0
160,-21.0
161,-21.0
162,-21.0
163,-20.0
164,-21.0
165,-21.0
166,-21.0
167,-20.0
168,-20.0
169,-20.0
170,-19.0
171,-21.0
172,-20.0
173,-20.0
174,-21.0
175,-21.0
176,-21.0
177,-20.0
178,-20.0
179,-21.0
180,-21.0
181,-21.0
182,-20.0
183,-20.0
184,-20.0
185,-19.0
186,-21.0
187,-20.0
188,-21.0
189,-21.0
190,-20.0
191,-20.0
192,-21.0
193,-20.0
194,-20.0
195,-21.0
196,-19.0
197,-20.0
198,-21.0
199,-21.0
200,-20.0
201,-20.0
202,-19.0
203,-21.0
204,-20.0
205,-21.0
206,-21.0
207,-20.0
208,-20.0
209,-21.0
210,-21.0
211,-21.0
212,-21.0
213,-19.0
214,-20.0
215,-21.0
216,-21.0
217,-17.0
218,-20.0
219,-20.0
220,-20.0
221,-20.0
222,-21.0
223,-21.0
224,-21.0
225,-21.0
226,-20.0
227,-21.0
228,-21.0
229,-21.0
230,-21.0
231,-20.0
232,-21.0
233,-21.0
234,-21.0
235,-21.0
236,-21.0
237,-21.0
238,-20.0
239,-21.0
240,-19.0
241,-21.0
242,-20.0
243,-21.0
244,-20.0
245,-20.0
246,-21.0
247,-20.0
248,-19.0
249,-21.0
250,-21.0
251,-21.0
252,-19.0
253,-20.0
254,-20.0
255,-21.0
256,-21.0
257,-21.0
258,-21.0
259,-21.0
260,-20.0
261,-18.0
262,-21.0
263,-20.0
264,-21.0
265,-20.0
266,-21.0
267,-19.0
268,-21.0
269,-21.0
270,-19.0
271,-21.0
272,-20.0
273,-20.0
274,-20.0
275,-20.0
276,-21.0
277,-21.0
278,-20.0
279,-21.0
280,-21.0
281,-20.0
282,-20.0
283,-19.0
284,-19.0
285,-20.0
286,-21.0
287,-21.0
288,-20.0
289,-20.0
290,-21.0
291,-21.0
292,-21.0
293,-21.0
294,-20.0
295,-21.0
296,-21.0
297,-21.0
298,-20.0
299,-21.0
300,-18.0
301,-21.0
302,-20.0
303,-21.0
304,-20.0
305,-21.0
306,-21.0
307,-19.0
308,-17.0
309,-20.0
310,-20.0
311,-18.0
312,-19.0
313,-19.0
314,-19.0
315,-21.0
316,-20.0
317,-20.0
318,-21.0
319,-21.0
320,-21.0
321,-21.0
322,-21.0
323,-21.0
324,-19.0
325,-21.0
326,-20.0
327,-20.0
328,-19.0
329,-20.0
330,-20.0
331,-21.0
332,-21.0
333,-20.0
334,-21.0
335,-18.0
336,-20.0
337,-20.0
338,-21.0
339,-21.0
340,-18.0
341,-21.0
342,-19.0
343,-20.0
344,-21.0
345,-20.0
346,-19.0
347,-21.0
348,-21.0
349,-20.0
350,-20.0
351,-20.0
352,-21.0
353,-21.0
354,-21.0
355,-20.0
356,-20.0
357,-21.0
358,-20.0
359,-20.0
360,-20.0
361,-21.0
362,-21.0
363,-20.0
364,-21.0
365,-20.0
366,-19.0
367,-19.0
368,-21.0
369,-21.0
370,-19.0
371,-20.0
372,-21.0
373,-21.0
374,-21.0
375,-21.0
376,-20.0
377,-21.0
378,-20.0
379,-21.0
380,-19.0
381,-21.0
382,-20.0
383,-20.0
384,-21.0
385,-20.0
386,-20.0
387,-19.0
388,-20.0
389,-21.0
390,-20.0
391,-21.0
392,-18.0
393,-20.0
394,-20.0
395,-21.0
396,-21.0
397,-21.0
398,-21.0
399,-21.0
400,-19.0
401,-21.0
402,-20.0
403,-19.0
404,-19.0
405,-21.0
406,-20.0
407,-19.0
408,-21.0
409,-21.0
410,-21.0
411,-21.0
412,-20.0
413,-19.0
414,-18.0
415,-20.0
416,-21.0
417,-19.0
418,-21.0
419,-20.0
420,-21.0
421,-20.0
422,-21.0
423,-19.0
424,-19.0
425,-21.0
426,-20.0
427,-20.0
428,-20.0
429,-20.0
